date,total_gross
2020-08-09,717012
2020-08-16,1203490
2020-08-23,6050734
2020-08-30,14294088
2020-09-06,24352690
2020-09-13,20204565
2020-09-20,15224811
2020-09-27,13211063
2020-10-04,12018077
2020-10-11,12867275
2020-10-18,15333232
2020-10-25,13921005
2020-11-01,12240746
2020-11-08,13936282
2020-11-15,14544599
2020-11-22,8747542
2020-11-29,21347553
2020-12-06,10889129
2020-12-13,8422681
2020-12-20,8983897
2020-12-27,27702061
2021-01-03,24853182
2021-01-10,12371889
2021-01-17,13193387
2021-01-24,12797076
2021-01-31,13667519
2021-02-07,10070889
2021-02-14,13382551
2021-02-21,10614504
2021-02-28,22391466
2021-03-07,28152998
2021-03-14,21906601
2021-03-21,23421051
2021-03-28,23403136
2021-04-04,66159170
2021-04-11,38810128
2021-04-18,24081791
2021-04-25,54686383
2021-05-02,24856503
2021-05-09,27740603
2021-05-16,26719531
2021-05-23,21413679
2021-05-30,84082709
2021-06-06,102687044
2021-06-13,58211132
2021-06-20,60087182
2021-06-27,112529891
2021-07-04,104352689
2021-07-11,162325370
2021-07-18,118602210
2021-07-25,92700546
2021-08-01,103698947
2021-08-08,97836149
2021-08-15,84437908
2021-08-22,85057150
2021-08-29,80895866
2021-09-05,128559975
2021-09-12,105266504
2021-09-19,58377823
2021-09-26,46788979
2021-10-03,133848726
2021-10-10,138566907
2021-10-17,146181209
2021-10-24,123362558
2021-10-31,81525013
2021-11-07,133748637
2021-11-14,112410947
2021-11-21,102853771
2021-11-28,161742990
2021-12-05,78500779
2021-12-12,62545909
2021-12-19,296967128
2021-12-26,312945938
2022-01-02,247061873
2022-01-09,101690238
2022-01-16,90298138
2022-01-23,73698007
2022-01-30,48714271
2022-02-06,70415135
2022-02-13,70124221
2022-02-20,121079403
2022-02-27,98879696
2022-03-06,184196136
2022-03-13,151647470
2022-03-20,120540052
2022-03-27,109559663
2022-04-03,103965404
2022-04-10,140478929
2022-04-17,143945708
2022-04-24,131146315
2022-05-01,94008378
2022-05-08,241492643
2022-05-15,145904458
2022-05-22,103405555
2022-05-29,205709049
2022-06-05,227515737
2022-06-12,277771656
2022-06-19,246463212
2022-06-26,211167402
2022-07-03,261154160
2022-07-10,349416362
2022-07-17,228987539
2022-07-24,198889635
2022-07-31,165056004
2022-08-07,145210613
2022-08-14,109967104
2022-08-21,111716269
2022-08-28,82152001
